epsilon,down_link,up_link,test_mse,test_mae,energy,time
0.6000,0.0000,0.0000,1.0657,0.8600,0,0
0.6000,0.0000,0.0000,1.0300,0.8430,0,0
0.6000,0.0000,0.0000,1.0079,0.8332,0,0
0.6000,0.0000,0.0000,0.9901,0.8259,0,0
0.6000,0.0000,0.0000,0.9813,0.8214,0,0
0.6000,0.0000,0.0000,0.9752,0.8184,0,0
0.6000,0.0000,0.0000,0.9674,0.8148,0,0
0.6000,0.0000,0.0000,0.9571,0.8101,0,0
0.6000,0.0000,0.0000,0.9503,0.8076,0,0
0.6000,0.0000,0.0000,0.9432,0.8042,0,0
0.6000,0.0000,0.0000,0.9364,0.8008,0,0
0.6000,0.0000,0.0000,0.9278,0.7968,0,0
0.6000,0.0000,0.0000,0.9163,0.7912,0,0
0.6000,0.0000,0.0000,0.9068,0.7878,0,0
