epsilon,down_link,up_link,test_acc,energy,time,goodput,packet_loss
0.1000,0.0000,0.0000,88.3400,0,0,0,0
0.1000,0.0000,0.0000,92.3100,0,0,0,0
0.1000,0.0000,0.0000,94.6500,0,0,0,0
0.1000,0.0000,0.0000,95.7200,0,0,0,0
0.1000,0.0000,0.0000,96.4600,0,0,0,0
0.1000,0.0000,0.0000,96.6200,0,0,0,0
0.1000,0.0000,0.0000,96.6900,0,0,0,0
0.1000,0.0000,0.0000,96.1900,0,0,0,0
0.1000,0.0000,0.0000,96.3300,0,0,0,0
0.1000,0.0000,0.0000,97.4600,0,0,0,0
0.1000,0.0000,0.0000,97.2000,0,0,0,0
0.1000,0.0000,0.0000,97.7300,0,0,0,0
0.1000,0.0000,0.0000,97.6600,0,0,0,0
0.1000,0.0000,0.0000,97.5100,0,0,0,0
0.1000,0.0000,0.0000,98.0400,0,0,0,0
0.1000,0.0000,0.0000,97.9500,0,0,0,0
0.1000,0.0000,0.0000,98.2700,0,0,0,0
0.1000,0.0000,0.0000,97.9200,0,0,0,0
0.1000,0.0000,0.0000,98.1500,0,0,0,0
0.1000,0.0000,0.0000,96.7200,0,0,0,0
0.1000,0.0000,0.0000,98.3700,0,0,0,0
0.1000,0.0000,0.0000,98.5200,0,0,0,0
0.1000,0.0000,0.0000,98.2700,0,0,0,0
0.1000,0.0000,0.0000,98.5100,0,0,0,0
0.1000,0.0000,0.0000,98.0100,0,0,0,0
0.1000,0.0000,0.0000,98.0300,0,0,0,0
0.1000,0.0000,0.0000,98.3900,0,0,0,0
0.1000,0.0000,0.0000,98.5900,0,0,0,0
0.1000,0.0000,0.0000,98.2900,0,0,0,0
0.1000,0.0000,0.0000,98.5900,0,0,0,0
0.1000,0.0000,0.0000,98.7200,0,0,0,0
0.1000,0.0000,0.0000,98.6100,0,0,0,0
0.1000,0.0000,0.0000,98.6300,0,0,0,0
0.1000,0.0000,0.0000,98.4300,0,0,0,0
0.1000,0.0000,0.0000,98.3800,0,0,0,0
0.1000,0.0000,0.0000,98.1600,0,0,0,0
0.1000,0.0000,0.0000,98.6000,0,0,0,0
0.1000,0.0000,0.0000,98.4600,0,0,0,0
0.1000,0.0000,0.0000,98.7600,0,0,0,0
0.1000,0.0000,0.0000,98.7400,0,0,0,0
0.1000,0.0000,0.0000,98.2600,0,0,0,0
0.1000,0.0000,0.0000,98.7500,0,0,0,0
0.1000,0.0000,0.0000,98.8400,0,0,0,0
0.1000,0.0000,0.0000,98.7400,0,0,0,0
0.1000,0.0000,0.0000,98.7900,0,0,0,0
0.1000,0.0000,0.0000,98.7900,0,0,0,0
0.1000,0.0000,0.0000,98.7800,0,0,0,0
0.1000,0.0000,0.0000,98.7700,0,0,0,0
0.1000,0.0000,0.0000,98.8900,0,0,0,0
0.1000,0.0000,0.0000,99.0000,0,0,0,0
