train_loss,test_mse,test_mae
0.9393223167761512,0.6349928975105286,0.6556453108787537
0.5291206703075896,0.174630269408226,0.3211993873119354
0.37294107556100126,0.1657840609550476,0.31074750423431396
0.36179051570513326,0.16012896597385406,0.3052353858947754
0.35202533498649363,0.1551487147808075,0.3004390597343445
0.3430376285282166,0.15042175352573395,0.2958741784095764
0.33425920349343313,0.14556755125522614,0.2911263108253479
0.3250852300906959,0.14021560549736023,0.2857115864753723
0.314944912902201,0.1341009885072708,0.2793254554271698
0.3035178775899112,0.12726129591464996,0.27171310782432556
0.2910528542149974,0.12025424093008041,0.26327645778656006
0.278627744410187,0.11419258266687393,0.2556993365287781
0.26792704107482795,0.10997132956981659,0.2501620054244995
0.2601809897257582,0.10746463388204575,0.2466610074043274
0.25530698190888634,0.10607217997312546,0.24441802501678467
0.2524026093559097,0.10525189340114594,0.24277961254119873
0.2506154594618989,0.10467368364334106,0.24160946905612946
0.24943027758727904,0.10420027375221252,0.24058598279953003
0.24858272849055735,0.10379575937986374,0.23971368372440338
0.24793977871456224,0.10345607995986938,0.2390054613351822
0.24743085528683403,0.10318002104759216,0.2384183555841446
0.24701555004424375,0.10296270996332169,0.23797225952148438
0.24666885833215454,0.1027965396642685,0.23765937983989716
0.2463742843221711,0.1026729866862297,0.23745915293693542
0.246120299273373,0.10258400440216064,0.2373512238264084
0.24589854122503943,0.10252242535352707,0.23729760944843292
0.24570272421545308,0.10248234868049622,0.23729367554187775
0.2455280153080821,0.10245884209871292,0.23731756210327148
0.24537063242219712,0.1024480015039444,0.2373662292957306
0.24522757773166118,0.10244663804769516,0.2374342381954193
0.245096433867255,0.10245219618082047,0.23751281201839447
0.24497525074073803,0.10246273130178452,0.23759950697422028
0.24486243097192567,0.1024765744805336,0.23769210278987885
0.24475666965641404,0.10249249637126923,0.237783744931221
0.24465688449614073,0.1025095283985138,0.23787611722946167
0.24456218154291096,0.10252683609724045,0.23796814680099487
0.24447182744093562,0.10254383832216263,0.23805388808250427
0.24438518374834373,0.1025601252913475,0.23813295364379883
0.24430174591100734,0.10257530212402344,0.2382032722234726
0.24422105620412723,0.10258911550045013,0.2382647544145584
0.24414276159570916,0.10260142385959625,0.23831845819950104
0.2440665482705378,0.10261205583810806,0.2383653074502945
0.24399214565915905,0.10262096673250198,0.23840665817260742
0.24391933062883175,0.1026281788945198,0.2384406328201294
0.2438479082091995,0.10263362526893616,0.23846890032291412
0.24377771673481102,0.10263732075691223,0.23849070072174072
0.24370861306543584,0.10263937711715698,0.23850664496421814
0.24364047704021569,0.10263976454734802,0.23851735889911652
0.243573197102903,0.10263857245445251,0.2385222315788269
0.2435066774285034,0.10263588279485703,0.23852168023586273
